"","geohash","obs","tmin","tmax","days","lat","lng","lat_error","lng_error","time_1","time_2","time_3","time_4","time_5","time_6","time_7","time_8","time_9","time_10","time_11","time_12","time_13","time_14","time_15","time_16","time_17","time_18","time_19","time_20","time_21","time_22","time_23","time_24"
"1","sx8d2x0w6jp",1839,"2018-05-30 12:00:00","2018-08-16 15:00:00",78.125,42.6225603371859,23.2258801907301,6.70552253723145e-07,6.70552253723145e-07,96.0408816579729,88.4732274804264,78.6861174507067,64.9898849660531,50.2228491939604,82.0709261344746,65.132766822353,61.2354390090331,89.5818090299144,66.8646362377331,97.6372404955328,13.6629164451733,80.2660600747913,41.9401312479749,6.5248369704932,9.61279915645719,35.7915223576128,24.909407668747,13.0371107487008,99.0514507051557,65.3220448642969,27.1543249255046,88.2336820010096,17.8334303898737
"2","sx8d2x0w6m9",2125,"2018-02-10 11:00:00","2018-05-29 19:00:00",108.291666666667,42.6225630193949,23.2258828729391,6.70552253723145e-07,6.70552253723145e-07,82.2078849654645,52.7126753237098,82.818494620733,1.87952420674264,74.2335375864059,90.6762697966769,34.1649672482163,61.8684817338362,70.2884342055768,68.8278721179813,9.58216835279018,48.4898472903296,50.2973201218992,70.5267207231373,57.7191740274429,28.6748277721927,12.3929312452674,94.3862888030708,89.9401538772509,37.106321263127,40.2684020111337,8.00459755118936,22.0804372103885,77.7921483619139
"3","sx8d6w9rqzu",420,"2018-03-09 03:00:00","2018-03-26 15:00:00",17.4583333333333,42.6200001686811,23.3150006085634,6.70552253723145e-07,6.70552253723145e-07,33.0246558878571,64.4540002103895,1.84490871615708,96.0965809877962,87.2286536497995,37.0336853666231,53.74210474547,90.0188338709995,14.4129113294184,71.4867814211175,75.6008855765685,81.6301264567301,55.8854046277702,46.2062766775489,6.99985974933952,1.43442552071065,45.7569196354598,85.5306518962607,7.35169555991888,16.380328591913,0.391770550049841,98.9024648442864,15.7414715038612,0.979563943110406
"4","sx8d6wdpqpv",3288,"2018-03-26 15:00:00","2018-08-16 15:00:00",143,42.6200001686811,23.3159997314215,6.70552253723145e-07,6.70552253723145e-07,62.9559646826237,52.7103713247925,37.3802872840315,27.6995073072612,97.2174793248996,33.5845444351435,16.9659935403615,23.6705253599212,17.1766791958362,41.8787861708552,3.26698506250978,89.5173896104097,76.7742649419233,19.6133828256279,7.43903436232358,82.8965943539515,61.4846415584907,58.9227617718279,44.663650682196,94.1010091919452,13.6627440573648,18.9583359984681,76.0103428270668,19.2999362945557
"5","sx8d6xtudev",4439,"2017-09-06 23:00:00","2018-03-26 11:00:00",200.5,42.6249998062849,23.3209993690252,6.70552253723145e-07,6.70552253723145e-07,36.8981620529667,82.4163453420624,80.6570817250758,70.2237094286829,35.9859858872369,21.4136910391971,84.7093762597069,58.9877706719562,14.9447370320559,41.7904425179586,63.5429756715894,17.6556400023401,1.65079580619931,35.3762852493674,19.7376482887194,76.6241419594735,96.9285770552233,0.628257356584072,5.01687601208687,10.6989358784631,99.537685723044,99.2878182791173,72.0538328168914,5.84788378328085
"6","sx8d6xv47qk",3214,"2018-03-26 18:00:00","2018-08-16 15:00:00",142.875,42.6260002702475,23.3200002461672,6.70552253723145e-07,6.70552253723145e-07,67.6043183077127,43.824864574708,78.0068112304434,95.8864454180002,62.165056518279,47.7374589070678,60.6807567412034,28.1242647208273,76.2609081109986,68.5145118972287,6.47537452168763,31.8465958116576,90.6084197573364,79.1959715774283,67.5846370169893,97.9170215316117,14.3291545566171,54.0660100989044,99.0859234705567,0.471753743477166,96.8315365724266,99.4504554662853,86.1033303197473,16.6619733907282
"7","sx8d6z17phw",3247,"2018-03-26 15:00:00","2018-08-16 15:00:00",143,42.6219997555017,23.3260003477335,6.70552253723145e-07,6.70552253723145e-07,40.1910625165328,4.62171090766788,69.771704915911,70.5102914245799,24.6252577984706,53.1990765128285,9.06604840420187,97.7717877598479,17.0934543013573,22.4900762317702,74.1377103840932,74.1495171561837,34.9239920498803,60.5113720986992,11.0751937609166,87.6932414714247,14.298497675918,54.9691350897774,56.3529353123158,40.208879346028,47.0874883700162,18.049631989561,69.795920746401,46.9242615625262
"8","sx8d6z32zpn",1738,"2017-12-24 01:00:00","2018-03-26 15:00:00",92.5416666666667,42.6230002194643,23.3260003477335,6.70552253723145e-07,6.70552253723145e-07,62.4356132000685,3.24455525260419,40.4540992109105,79.7352638794109,44.8777593439445,27.2350615356117,76.205689413473,9.67616536654532,79.8876726767048,64.8128220345825,2.71237255074084,29.3292470509186,73.1259406311437,40.6552528962493,68.8311638077721,76.5877991681919,46.188548929058,93.8418477075174,28.5903027281165,17.297611059621,71.8514656415209,9.93375782854855,23.4362782211974,90.6224952079356
"9","sx8d6z45nkx",3963,"2017-10-09 02:00:00","2018-03-26 15:00:00",168.541666666667,42.6219997555017,23.3269994705915,6.70552253723145e-07,6.70552253723145e-07,66.7521246243268,32.7030800282955,78.2125981291756,47.4062779219821,46.4500183938071,59.8740779096261,57.0427673636004,41.7820217786357,95.9069444099441,8.37082685902715,29.971783538349,36.1776374746114,64.5312647800893,34.1158581431955,58.2027506316081,65.7122040400282,34.4343527685851,23.709965031594,87.323329760693,80.6590647436678,44.8540954617783,50.1515516778454,66.8037165887654,59.0259162010625
"10","sx8d6z4gju9",3306,"2018-03-26 15:00:00","2018-08-16 15:00:00",143,42.6219997555017,23.3279999345541,6.70552253723145e-07,6.70552253723145e-07,65.8784081926569,59.9359869025648,58.4247194230556,36.5712801925838,41.5994237875566,39.8776398971677,85.583772440441,11.8314027553424,16.5193849476054,85.1592660881579,19.0664120949805,80.0114399753511,83.999638305977,63.0039267940447,21.5035820612684,67.6096637733281,60.7076977146789,20.3366728965193,63.4236047277227,47.9415137786418,93.1730882730335,61.493454570882,85.7549073407426,59.0113972313702
